Country Name,CURRENCY NAME,CURRENCY CODE,WORLD BANK PPP ,EXCHANGE RATE IN USD,PPP RATIO,,PRICE,PRICE IN USD,,,,
Albania,Albanian lek,ALL,42.96926,103.2,0.4163687984,0.02327245105,2986.093612,28.93501562,,USD,,
Algeria,Algerian dinar,DZD,42.2449,136.7308,0.3089640374,0.02367149644,2935.755143,21.47105951,,69.49371742,,
Angola,Angolan kwanza,AOA,220.2687,552.5,0.3986763801,0.004539909665,15307.29079,27.7055037,,,,
Antigua and Barbuda,East Caribbean dollar,XCD,2.02807,2.70255,0.7504282992,0.4930796274,140.9381235,52.15005217,,,,
Argentina,Argentine peso,ARS,43.13541,235.6142,0.1830764445,0.02318280967,2997.639993,12.7226627,,COUNTRY,South Africa,
Armenia,Armenian dram,AMD,160.8046,386.52,0.4160317707,0.006218727574,11174.90943,28.91159431,,PRICE,498.1377074,South African rand
Australia,Australian dollar,AUD,1.438979,1.534216,0.9379246469,0.6949371742,100,65.17987037,,,,
Austria,Euro,EUR,0.770831,0.93185,0.8272050223,1.297301224,53.56791169,57.48555207,,PRICE IN USD ,25.33776676,USD
Azerbaijan,Azerbaijani manat,AZN,0.577727,1.7,0.3398394118,1.730921352,40.14839688,23.61670405,,,,
"Bahamas, The",Bahamian dollar,BSD,0.827943,0.999893,0.8280315994,1.207812615,57.53683688,57.54299398,,,,
Bahrain,Bahraini dinar,BHD,0.184082,0.3768818,0.4884343049,5.432361665,12.79254249,33.94311556,,,,
Bangladesh,Bangladeshi taka,BDT,32.09938,107.2047,0.2994213873,0.03115324969,2230.705243,20.80790528,,,,
Barbados,Barbadian dollar,BBD,2.299264,2.018947,1.138843169,0.4349217837,159.7844027,79.14244539,,,,
Belarus,Belarusian ruble,BYN,0.854353,2.523788,0.3385201134,1.170476372,59.37216596,23.5250211,,,,
Belgium,Euro,EUR,0.742723,0.93185,0.7970413693,1.346396974,51.61458228,55.38936769,,,,
Belize,Belize dollar,BZD,1.277331,2.015419,0.6337793779,0.7828824322,88.76647957,44.04368499,,,,
Benin,West African CFA franc,XOF,209.0421,610.5,0.3424113022,0.004783725384,14527.11263,23.79543428,,,,
Bermuda,Bhutanese ngultrum,BTN,1.301402,1,1.301402,0.7684020771,90.43926284,90.43926284,,,,
Bolivia,Bolivian boliviano,BOB,2.613056,6.909741,0.3781698909,0.3826936736,181.5909753,26.28043153,,,,
Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,BAM,0.6789,1.82006,0.373009681,1.472970982,47.17928476,25.92182937,,,,
Botswana,Botswana pula,BWP,4.627686,13.71561,0.337402857,0.2160907201,321.5951032,23.4473788,,,,
Brazil,Brazilian real,BRL,2.526131,4.9942,0.505812943,0.395862289,175.5502339,35.15082173,,,,
